id,record_id,open_date,issued_date,record_status,record_group,record_type,record_subtype,record_category,primary_scope_code,use,homeowner_biz_owner,street_address,city,state,zip_code,full_address,parcel_number,valuation,floor_area,contractor_name,contractor_address,contractor_phone,created_online,last_updated,geocoded_column
44890,PDS2013-RESALT-007218,2013-12-03T00:00:00.000,2014-01-22T00:00:00.000,Completed,LUEG-PDS,Building,PC-Permit,Residential Alteration-Addn,"3310 - RES - Misc. (Antennas, Tennis Cts, Gazebo)","Cross street:  San Miguel rd

Description of Work:  ""As-built"" 62 sqft pool bathroom in detached garage",FALSE,5559 AMADITA LN,BONITA,CA,91902,"5559 AMADITA LN, BONITA, CA 91902",590-420-07-00,1530,,MLG PROPERTIES,"3827 CENTRALOMA DRIVE, SAN DIEGO, CA 92107",619 417-6538,FALSE,2014-01-22T14:53:55.000,"{'type': 'Point', 'coordinates': [-117.01333372504665, 32.67598831954526]}"
44895,PDS2013-RESALT-007194,2013-12-03T00:00:00.000,2013-12-03T00:00:00.000,Completed,LUEG-PDS,Building,PC-Permit,Residential Alteration-Addn,8003 - REN - Solar Photovoltaic Residential (HRA),"Cross Street: LA CRESTA BLVD

Description of Work: ROOF MOUNT RESIDENTIAL SOLAR PV FOR EXISTING SFD

Per Section 4620 (i) of the zoning ordinance, roof mounted photovoltaic systems shall not extend more than 5' above the highest point of the existing roof.",TRUE,237 ALAMO WAY,EL CAJON,CA,92021,"237 ALAMO WAY, EL CAJON, CA 92021",509-150-57-00,,,MATT ASHWELL ELECTRIC,"232 WEST ESCALONES, SAN CLEMENTE, CA 92672",949 441-9925,FALSE,2013-12-03T12:41:43.000,"{'type': 'Point', 'coordinates': [-116.86248063219709, 32.811821309526366]}"
44892,PDS2013-RESALT-007200,2013-12-03T00:00:00.000,2013-12-04T00:00:00.000,Completed,LUEG-PDS,Building,PC-Permit,Residential Alteration-Addn,8002 - REN - (Online) RES Roof Mt Solar PV No Meter Upgrade (HRA),"PLEASE ENTER THE NEAREST CROSS STREET: sweetwater rd.

_____________DO_NOT_EDIT_BELOW_THIS_LINE_____________
Description of Work: HRA (Online Permit) ROOF MOUNT RESIDENTIAL SOLAR PV FOR EXISTING SFD (No Meter Upgrade).

Per Section 4620 (i) of the zoning ordinance, roof mounted photovoltaic systems shall not extend more than 5' above the highest point of the existing roof.",TRUE,2824 DEGEN DR,BONITA,CA,91902,"2824 DEGEN DR, BONITA, CA 91902",590-441-16-00,,,SOLAR WEST ELECTRIC INC,"2640 FINANCIAL COURT SUITE D, SAN DIEGO, CA 92117",858 750-2995,TRUE,2013-12-04T07:23:02.000,"{'type': 'Point', 'coordinates': [-117.0204137631296, 32.68464707594672]}"
44912,PDS2013-RESALT-007215,2013-12-03T00:00:00.000,2013-12-03T00:00:00.000,Completed,LUEG-PDS,Building,PC-Permit,Residential Alteration-Addn,8000 - ACC - Electrical Only,"Cross street:BUGGYWHIP DR.

Description of Work:PANEL UPGRADE 125A",FALSE,2452 DOUBLETREE RD,SPRING VALLEY,CA,91978,"2452 DOUBLETREE RD, SPRING VALLEY, CA 91978",506-061-08-00,,,A S I HASTINGS INC,"4870 VIEWRIDGE AVENUE #200, SAN DIEGO, CA 92123",619 590-9300,FALSE,2013-12-03T15:30:29.000,"{'type': 'Point', 'coordinates': [-116.95918392487366, 32.728780863268874]}"
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
